id	x	y	z
dd_klotzsche	4623183	5667440	227
dd_hosterwitz	4629789	5655359	114
dd_strehlen	4623996	5652991	119
dippoldiswalde	4620226	5644000	365
zinnwald	4623539	5622933	877

cat_201	4614910	5631358	640
cat_202	4613945	5631644	600
cat_203	4613202	5631195	578
cat_204	4612963	5630554	642
cat_205	4613581	5630663	586
cat_206	4613210	5630045	664
cat_207	4614836	5630702	642
cat_208	4613853	5630199	593
cat_209	4614863	5630057	648
cat_210	4614175	5628296	674
cat_211	4613791	5628037	692
cat_212	4613335	5628399	682
cat_213	4613576	5628735	656
cat_214	4613653	5629746	608
cat_215	4614304	5629388	578
cat_216	4614786	5628924	600
cat_217	4614592	5628118	690
cat_218	4615169	5628575	616
cat_219	4615379	5629522	656
cat_220	4615280	5627360	686
cat_221	4615175	5627877	656
cat_222	4616126	5628999	652
cat_223	4615973	5628121	606
cat_224	4615664	5626588	710
cat_225	4615952	5627291	648
cat_226	4616316	5626767	666
cat_227	4616859	5626491	696
cat_228	4616461	5626300	678
cat_229	4615945	5625794	702
cat_230	4615432	5625680	700
cat_231	4615829	5625085	770
cat_232	4615323	5625022	766
cat_233	4614919	5625597	742
cat_234	4615390	5625875	698
cat_235	4614878	5626436	738
cat_236	4616694	5624867	760
cat_237	4616565	5626000	674
cat_238	4616323	5625551	730
cat_242	4617156	5628308	648
cat_243	4616969	5627585	636
cat_244	4617814	5627460	674
cat_245	4617436	5627109	652
cat_246	4617233	5626664	686
cat_247	4617744	5626521	686
cat_248	4618414	5626397	718
cat_264	4620683	5624417	794
cat_265	4619544	5624172	682
cat_266	4617724	5624968	750
cat_267	4618047	5625361	694
cat_268	4617518	5624398	762
cat_269	4618270	5624698	712
cat_270	4617641	5623862	760
cat_271	4619058	5625145	712
cat_272	4618691	5624136	744
cat_273	4618868	5623364	762
cat_274	4619846	5623261	742
cat_275	4620989	5623488	786
cat_276	4620310	5622535	736
cat_277	4620980	5622029	734
cat_278	4619864	5621707	786
cat_279	4620699	5621672	724
cat_280	4620220	5621274	756
cat_281	4622981	5621610	868
cat_282	4622955	5620677	860
cat_283	4620711	5621110	733
cat_284	4619793	5620062	837
cat_285	4620708	5620168	774
cat_286	4620761	5620865	736
cat_287	4619726	5620982	808
cat_288	4619667	5620585	830
cat_289	4620360	5620673	768
cat_290	4622352	5622407	850
cat_291	4621431	5622526	768
cat_292	4621677	5624523	822
cat_293	4622104	5624197	812
cat_294	4622108	5624656	852
cat_295	4622821	5624466	870
cat_296	4622448	5623930	812
cat_297	4622986	5623281	866
cat_442	4620303	5619555	804
cat_443	4619804	5619231	836
cat_444	4619558	5618131	842
cat_445	4619959	5618671	826
cat_446	4619916	5618144	836
cat_469	4612922	5631555	560
cat_503	4613594	5629264	632
cat_504	4621709	5620208	814
cat_505	4621697	5621627	804
cat_506	4622071	5620953	820
cat_507	4620016	5624865	764
cat_508	4618189	5625862	700
cat_509	4616552	5628403	646
cat_519	4622156	5623215	790

