id	x	y	z
dd_klotzsche	4623183.000	5667440.000	227.000
dd_hosterwitz	4629789.000	5655359.000	114.000
dippoldiswalde	4620226.000	5644000.000	365.000
zinnwald	4623539.000	5622933.000	877.000
dd_strehlen	4623996.000	5652991.000	119.000
cat_201	4614910.000	5631358.000	640.000
cat_202	4613945.000	5631644.000	600.000
cat_203	4613202.000	5631195.000	578.000
cat_204	4612963.000	5630554.000	642.000
cat_205	4613581.000	5630663.000	586.000
cat_206	4613210.000	5630045.000	664.000
cat_207	4614836.000	5630702.000	642.000
cat_208	4613853.000	5630199.000	593.000
cat_209	4614863.000	5630057.000	648.000
cat_210	4614175.000	5628296.000	674.000
cat_211	4613791.000	5628037.000	692.000
cat_212	4613335.000	5628399.000	682.000
cat_213	4613576.000	5628735.000	656.000
cat_214	4613653.000	5629746.000	608.000
cat_215	4614304.000	5629388.000	578.000
cat_216	4614786.000	5628924.000	600.000
cat_217	4614592.000	5628118.000	690.000
cat_218	4615169.000	5628575.000	616.000
cat_219	4615379.000	5629522.000	656.000
cat_220	4615280.000	5627360.000	686.000
cat_221	4615175.000	5627877.000	656.000
cat_222	4616126.000	5628999.000	652.000
cat_223	4615973.000	5628121.000	606.000
cat_224	4615664.000	5626588.000	710.000
cat_225	4615952.000	5627291.000	648.000
cat_226	4616316.000	5626767.000	666.000
cat_227	4616859.000	5626491.000	696.000
cat_228	4616461.000	5626300.000	678.000
cat_229	4615945.000	5625794.000	702.000
cat_230	4615432.000	5625680.000	700.000
cat_231	4615829.000	5625085.000	770.000
cat_232	4615323.000	5625022.000	766.000
cat_233	4614919.000	5625597.000	742.000
cat_234	4615390.000	5625875.000	698.000
cat_235	4614878.000	5626436.000	738.000
cat_236	4616694.000	5624867.000	760.000
cat_237	4616565.000	5626000.000	674.000
cat_238	4616323.000	5625551.000	730.000
cat_242	4617156.000	5628308.000	648.000
cat_243	4616969.000	5627585.000	636.000
cat_244	4617814.000	5627460.000	674.000
cat_245	4617436.000	5627109.000	652.000
cat_246	4617233.000	5626664.000	686.000
cat_247	4617744.000	5626521.000	686.000
cat_248	4618414.000	5626397.000	718.000
cat_264	4620683.000	5624417.000	794.000
cat_265	4619544.000	5624172.000	682.000
cat_266	4617724.000	5624968.000	750.000
cat_267	4618047.000	5625361.000	694.000
cat_268	4617518.000	5624398.000	762.000
cat_269	4618270.000	5624698.000	712.000
cat_270	4617641.000	5623862.000	760.000
cat_271	4619058.000	5625145.000	712.000
cat_272	4618691.000	5624136.000	744.000
cat_273	4618868.000	5623364.000	762.000
cat_274	4619846.000	5623261.000	742.000
cat_275	4620989.000	5623488.000	786.000
cat_276	4620310.000	5622535.000	736.000
cat_277	4620980.000	5622029.000	734.000
cat_278	4619864.000	5621707.000	786.000
cat_279	4620699.000	5621672.000	724.000
cat_280	4620220.000	5621274.000	756.000
cat_281	4622981.000	5621610.000	868.000
cat_282	4622955.000	5620677.000	860.000
cat_283	4620711.000	5621110.000	733.000
cat_284	4619793.000	5620062.000	837.000
cat_285	4620708.000	5620168.000	774.000
cat_286	4620761.000	5620865.000	736.000
cat_287	4619726.000	5620982.000	808.000
cat_288	4619667.000	5620585.000	830.000
cat_289	4620360.000	5620673.000	768.000
cat_290	4622352.000	5622407.000	850.000
cat_291	4621431.000	5622526.000	768.000
cat_292	4621677.000	5624523.000	822.000
cat_293	4622104.000	5624197.000	812.000
cat_294	4622108.000	5624656.000	852.000
cat_295	4622821.000	5624466.000	870.000
cat_296	4622448.000	5623930.000	812.000
cat_297	4622986.000	5623281.000	866.000
cat_442	4620303.000	5619555.000	804.000
cat_443	4619804.000	5619231.000	836.000
cat_444	4619558.000	5618131.000	842.000
cat_445	4619959.000	5618671.000	826.000
cat_446	4619916.000	5618144.000	836.000
cat_469	4612922.000	5631555.000	560.000
cat_503	4613594.000	5629264.000	632.000
cat_504	4621709.000	5620208.000	814.000
cat_505	4621697.000	5621627.000	804.000
cat_506	4622071.000	5620953.000	820.000
cat_507	4620016.000	5624865.000	764.000
cat_508	4618189.000	5625862.000	700.000
cat_509	4616552.000	5628403.000	646.000
cat_519	4622156.000	5623215.000	790.000
